chr	start	end	TargetGene	PctChange	Significant	Regulated	IncludeInModel	CustomTargetGeneTSS	strand	PrimaryTissue	NeighborhoodCellLine	PerturbMethod	Clonality	RNAReadoutMethod	Reference	Notes	Reason	nKO	semKO	nCtrl	semCtrl	lfcSE	padj	ClassAnnotation	nTests	PowerAtEffectSize=0.1	PowerAtEffectSize=0.2	PowerAtEffectSize=0.25	PowerAtEffectSize=0.5	CellType	TargetGeneTSS	region.id
chrX	48660375	48660526	GATA1	0.09	TRUE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates	NA	6	0.022	15	0.01086	NA	NA	PromoterCompetitor	1	0.986169011	1	1	1	K562	NA	NA
chr8	129189224	129189345	MYC	0.03	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 3 different sgRNAs each with 3 biological replicates	NA	12	0.0488	20	0.019	NA	NA		1	0.564557512	0.9808713	0.998764467	1	K562	NA	NA
chrX	48797400	48798550	PIM2	-0.504190564	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	This study	average effect of 2 different sgRNAs each with 4 biological replicates	NA	8	0.001	8	0.001	NA	NA		1	1	1	1	1	K562	NA	NA
chrX	48798640	48799830	PIM2	-0.397882339	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	qPCR	This study	average effect of 2 different sgRNAs each with 4 biological replicates	NA	8	0.001	8	0.001	NA	NA		1	1	1	1	1	K562	NA	NA
chr20	55990155	55990155	RBM38	-0.662184153	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D1 and D2 vs 3 GFP controls and other clones	NA	4	0.023547828	8	0.100345312	NA	0.001096199	Enhancer	1	0.014197851	0.110934557	0.230721831	0.954393636	K562	NA	NA
chr20	55990155	55990155	RAE1	-0.437488652	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D1 and D2 vs 3 GFP controls and other clones	NA	4	0.041997751	8	0.127914914	NA	0.041811924	Enhancer	1	0.009131768	0.052888287	0.10636544	0.729336983	K562	NA	NA
chr1	3691278	3691778	SMIM1	-0.472019217	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones	NA	6	0.02898205	6	0.092274391	NA	0.000641649	Enhancer	1	0.116197234	0.436327056	0.639332272	0.998366802	K562	NA	NA
chr1	3691278	3691778	LRRC47	-0.331178093	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones	NA	6	0.070965872	6	0.070180177	NA	0.007771168	Enhancer	1	0.110060984	0.411274048	0.608994236	0.997294884	K562	NA	NA
chr1	3691278	3691778	CEP104	-0.293431866	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones	NA	6	0.038949353	6	0.06877305	NA	0.004023984	Enhancer	1	0.167798283	0.618801382	0.825093632	0.999979167	K562	NA	NA
chr6	109625629	109626129	FIG4	-0.486749816	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D6, D7 vs 3 GFP controls and other clones	NA	4	0.039840478	8	0.136284567	NA	0.034708806	Enhancer	1	0.007693603	0.042820585	0.085857834	0.653207135	K562	NA	NA
chr6	109625629	109626129	CD164	-0.657494624	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D6, D7 vs 3 GFP controls and other clones	NA	4	0.035970989	8	0.100691793	NA	0.001243625	Enhancer	1	0.015907299	0.112854044	0.228478415	0.944559008	K562	NA	NA
chrX	55054662	55054701	ALAS2	-0.93	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Wakabayashi2016	Obtained original measurements from authors.  4 independent ALAS2 homozygous KO clones vs 3 replicates of wild-type GFP	NA	4	0.02719	3	0.02454	NA	NA	Enhancer	1	0.520619426	0.997298453	0.999983164	1	K562	NA	NA
chr10	127505227	127505304	UROS	-0.85	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Wakabayashi2016	Obtained original measurements from authors. 3 independent UROS homozygous KO clones vs 3 replicates of wild-type GFP	NA	3	0.00656	3	0.12167	NA	NA	Enhancer	1	0.025247787	0.128179583	0.234322062	0.907757447	K562	NA	NA
chr1	29210606	29210645	EPB41	-0.76	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  5 replicates EPB4-E1 construct vs 5 replicates GFP construct.	NA	5	0.052	5	0.0364	NA	NA	Enhancer	1	0.232524546	0.800913275	0.948724568	0.999999987	K562	NA	NA
chr1	29211591	29211630	EPB41	-0.66	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  5 replicates EPB4-E2 construct vs 5 replicates GFP construct.	NA	5	0.0148	5	0.0364	NA	NA	Enhancer	1	0.594419626	0.997314205	0.999975075	1	K562	NA	NA
chr19	44278759	44278798	KCNN4	-0.72	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  3 replicates KCNN4 construct vs 3 replicates GFP construct.	NA	3	0.011876	3	0.02149	NA	NA	Enhancer	1	0.902571553	0.99999996	1	1	K562	NA	NA
chr17	31224570	31224590	MYO1D	-0.69	TRUE	TRUE	TRUE	NA	*	NA	K562	dCas9-KRAB	polyclonal	qPCR	Huang2018	Estimated from Figure 5d	NA	6	0.021	3	0.1914	NA	NA	Enhancer	1	0.143424571	0.292632726	0.387425634	0.844311883	K562	NA	NA
chr17	31220757	31222033	MYO1D	-0.387	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.0591	4	0.184	NA	NA	Enhancer	1	0.076460897	0.18092517	0.256838173	0.739069974	K562	NA	NA
chr17	31236528	31240709	MYO1D	-0.82	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	8	0.0231	4	0.184	NA	NA	Enhancer	1	0.159293234	0.323432556	0.425242787	0.876897075	K562	NA	NA
chr17	31237036	31237145	MYO1D	-0.48	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.072	4	0.184	NA	NA	Enhancer	1	0.068077183	0.162519512	0.232358892	0.703389782	K562	NA	NA
chr17	31220757	31222033	TMEM98	-0.329	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.064	4	0.018	NA	NA	Enhancer	1	0.094379144	0.575298731	0.826891353	0.999998714	K562	NA	NA
chr17	31236528	31240709	TMEM98	-0.932	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	8	0.0074	4	0.018	NA	NA	Enhancer	1	0.999497983	1	1	1	K562	NA	NA
chr17	31237036	31237145	TMEM98	-0.352	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.0559	4	0.018	NA	NA	Enhancer	1	0.136259357	0.72758525	0.927432074	0.999999994	K562	NA	NA
chr17	31220757	31222033	SPACA3	-0.328	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.108	4	0.134	NA	NA	Enhancer	1	0.042876644	0.127728251	0.198588234	0.727719425	K562	NA	NA
chr17	31236528	31240709	SPACA3	-0.687	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	8	0.071	4	0.134	NA	NA	Enhancer	1	0.088831585	0.245549586	0.359853692	0.90142411	K562	NA	NA
chr17	31237036	31237145	SPACA3	-0.357	TRUE	TRUE	TRUE	NA	*	NA	K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f	NA	6	0.074	4	0.134	NA	NA	Enhancer	1	0.071412093	0.208372657	0.313680798	0.874462258	K562	NA	NA
chr11	5301600	5302400	HBBP1	-0.81438	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression	NA	3	NA	3	NA	0.231099926	3.95e-25	Enhancer	21	0.03	0.21	0.25	1	K562	NA	NA
chr11	5301600	5302400	HBG1	-0.691966	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression	NA	3	NA	3	NA	0.122881207	1.26e-42	Enhancer	21	0.03	0.35	0.58	1	K562	NA	NA
chr11	5301600	5302400	HBG2	-0.738582	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression	NA	3	NA	3	NA	0.125739038	1.9e-52	Enhancer	21	0.05	0.27	0.55	1	K562	NA	NA
chr11	5301600	5302400	HBE1	-0.864802	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression	NA	3	NA	3	NA	0.135643994	3.45e-99	Enhancer	21	0.08	0.27	0.56	1	K562	NA	NA
chr11	5301600	5302400	HBD	-0.692318	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression	NA	3	NA	3	NA	0.318290189	3.85e-07	Enhancer	21	0.1	0.09	0.18	0.78	K562	NA	NA
chr11	5296984	5297290	HBG2	-0.499976039	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S5	NA	3	NA	4	NA	0.032825728	1.9603e-05	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	5305924	5306090	HBG1	-0.308306584	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S8	NA	3	NA	4	NA	0.063640634	0.00025322	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	5305924	5306090	HBG2	-0.415828463	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S9	NA	3	NA	4	NA	0.102094842	1.97e-06	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	5309413	5309590	HBG1	-0.294995914	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S10	NA	3	NA	4	NA	3.041761095	1.26e-10	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	5309413	5309590	HBG2	-0.582503716	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S11	NA	3	NA	4	NA	0.13317909	3.11e-11	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr6	37018088	37018230	PIM1	-0.300888296	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S12	NA	3	NA	4	NA	0.070802577	0.0018447	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr6	37151047	37151290	PIM1	-0.888781235	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S14	NA	3	NA	4	NA	0.583085194	3.92e-09	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	61602067	61602390	FADS1	-0.580721711	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S20	NA	3	NA	4	NA	0.282901459	1.37e-25	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	61609256	61609274	FADS1	-0.265317927	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S21	NA	3	NA	4	NA	0.144407415	0.0065232	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr11	61739083	61739510	FTH1	-0.181220904	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S22	NA	3	NA	4	NA	0.046677912	1.12e-07	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr7	106650779	106650797	PRKAR2B	-0.089519735	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S23	NA	3	NA	4	NA	3.257356087	5.09e-06	Enhancer	1	NA	NA	NA	NA	K562	NA	NA
chr5	111496632	111496741	REEP5	-0.04334	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	2	NA	16	NA	0.088024824	0.668182749		10	0.13	0.79	0.98	1	K562	NA	NA
chr5	111496632	111496741	EPB41L4A	-0.55998	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	2	NA	16	NA	0.15124934	2.43e-14	Enhancer	10	0.07	0.33	0.6	1	K562	NA	NA
chr18	72265021	72265042	CNDP2	0.0111582	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	3	NA	15	NA	0.10987188	0.914237571		6	0.13	0.62	0.87	1	K562	NA	NA
chr18	72265021	72265042	ZADH2	0.0087504	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	3	NA	15	NA	0.116712064	0.914237571		6	0.13	0.62	0.81	1	K562	NA	NA
chr17	56409627	56409896	MRPS23	0.018898	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	2	NA	16	NA	0.085374764	0.928601676		21	0.02	0.55	0.91	1	K562	NA	NA
chr17	56409627	56409896	SMG8	0.076625	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	2	NA	16	NA	0.09536179	0.855310424		21	0.02	0.47	0.83	1	K562	NA	NA
chr6	135644462	135644615	MYB	-0.897839	TRUE	TRUE	TRUE	NA	*	NA	K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression	NA	2	NA	16	NA	0.168501187	3.56e-84	Enhancer	6	0.09	0.38	0.57	1	K562	NA	NA
chr17	40851240	40851334	EZH1	-0.58	TRUE	TRUE	TRUE	NA	*	NA	K562	Cas9	clonal	qPCR	Xu2015	Estimated from Figure 2F.  N refers to number of clones	NA	7	0.060474316	9	0.064333333	NA	NA	Enhancer	1	0.143202345	0.526522586	0.736573728	0.999734145	K562	NA	NA
chr19	12313025	12313565	PRDX2	0.001509442	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	59	0.016123273025	975	0.00303699494027	NA	0.934005711046		122	0.999996611437	1	1	1	K562	NA	NA
chr19	12404485	12405065	PRDX2	0.021621857	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	53	0.0150008764178	975	0.00303699494027	NA	0.426909455043		122	0.999999011083	1	1	1	K562	NA	NA
chr19	12405464	12405965	PRDX2	-0.001712096	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	82	0.00980213925289	975	0.00303699494027	NA	0.948188552047		122	1	1	1	1	K562	NA	NA
chr19	12441885	12442945	PRDX2	0.013027806	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	52	0.0125932269695	975	0.00303699494027	NA	0.650068358079		122	0.999999990525	1	1	1	K562	NA	NA
chr19	12444284	12444845	PRDX2	-0.018363259	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	70	0.00850660964966	975	0.00303699494027	NA	0.458467053269		122	1	1	1	1	K562	NA	NA
chr19	12475465	12476005	PRDX2	-0.028558129	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	4	0.0341312497895	975	0.00303699494027	NA	0.786282781453		122	0.548613712074	0.998819055575	0.999996596953	1	K562	NA	NA
chr19	12476225	12476805	PRDX2	0.010801907	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	92	0.00864341696389	975	0.00303699494027	NA	0.599283678803		122	1	1	1	1	K562	NA	NA
chr19	12511838	12512405	PRDX2	0.006273232	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	58	0.0130844024212	975	0.00303699494027	NA	0.79638058576		122	0.999999982434	1	1	1	K562	NA	NA
chr19	12522625	12523145	PRDX2	0.002520546	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	47	0.0125825987434	975	0.00303699494027	NA	0.931818212256		122	0.999999983652	1	1	1	K562	NA	NA
chr19	12551676	12552205	PRDX2	-0.017909561	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	58	0.0118806009346	975	0.00303699494027	NA	0.562809421164		122	0.99999999928	1	1	1	K562	NA	NA
chr19	12595382	12595925	PRDX2	0.000674862	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	83	0.00999350529196	975	0.00303699494027	NA	0.949724030824		122	1	1	1	1	K562	NA	NA
chr19	12605985	12606485	PRDX2	-0.014550884	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	78	0.010472218076	975	0.00303699494027	NA	0.562809421164		122	0.999999999999	1	1	1	K562	NA	NA
chr19	12632705	12633245	PRDX2	0.011930345	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	29	0.014350201299	975	0.00303699494027	NA	0.734308587904		122	0.99999380478	1	1	1	K562	NA	NA
chr19	12654525	12655045	PRDX2	-0.003464829	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	25	0.0165296121884	975	0.00303699494027	NA	0.933463935101		122	0.99986909627	1	1	1	K562	NA	NA
chr19	12655125	12655625	PRDX2	0.019307584	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	40	0.0149015809328	975	0.00303699494027	NA	0.562809421164		122	0.999997265914	1	1	1	K562	NA	NA
chr19	12662106	12662665	PRDX2	-0.003015864	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	93	0.012035023993	975	0.00303699494027	NA	0.906515455978		122	0.999999999891	1	1	1	K562	NA	NA
chr19	12674785	12675285	PRDX2	-0.013102107	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	53	0.0125156860138	975	0.00303699494027	NA	0.650068358079		122	0.999999992983	1	1	1	K562	NA	NA
chr19	12721373	12721981	PRDX2	0.003444191	FALSE	FALSE	TRUE	NA	*	NA	K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019		NA	84	0.0115065629247	975	0.00303699494027	NA	0.845840660373		122	0.999999999973	1	1	1	K562	NA	NA
